name,accounts
De Gea,https://twitter.com/D_DeGea
Dean Henderson,https://twitter.com/deanhenderson
Eric Bailly,https://twitter.com/ericbailly24
Diogo Dalot,https://twitter.com/DalotDiogo
Alex Telles,https://twitter.com/at13oficial
Phil Jones,https://twitter.com/PhilJones4
Raphael Varane,https://twitter.com/raphaelvarane
Victor Lindelöf,https://twitter.com/vlindelof
Harry Maguire,https://twitter.com/HarryMaguire93
Teden Mengi,https://twitter.com/tedenmengi
Luke Shaw,https://twitter.com/LukeShaw23
Aaron Wan-Bissaka,https://twitter.com/awbissaka
Brandon Williams,https://twitter.com/branwilliams
Donny van de Beek,https://twitter.com/Donny_beek6
Bruno Fernandes,https://twitter.com/B_Fernandes8
Fred,https://twitter.com/Fred08oficial
Jesse Lingard,https://twitter.com/JesseLingard
Mata,https://twitter.com/juanmata8
Nemanja Matić,https://twitter.com/NemanjaMatic
Scott McTominay,https://twitter.com/mctominay10
Paul Pogba,https://twitter.com/paulpogba
Amad Diallo,https://twitter.com/amaddiallo79
Jadon Sancho,https://twitter.com/Sanchooo10
Cristiano Ronaldo,https://twitter.com/Cristiano
Edinson Cavani,https://twitter.com/ECavaniOfficial
Mason Greenwood,https://twitter.com/masongreenwood
Anthony Martial,https://twitter.com/AnthonyMartial
Marcus Rashford,https://twitter.com/MarcusRashford
